"left","bottom","right","top","confidence","cluster","table","row","file_id","file_number","entry_id","name_id","col.header","price_center_x_orig","price_center_y_orig","text.true","truth_entered_by","price_raw","type_raw","price_new","type_new","flag_year","flag_amount","flag_size","flag_digit","flag_order","flag_type_new","sum_flag"
1538,4787,1645,4827,96.6804962158203,1,1,12,"UCD_Lehmann_0027","0027","0027_1_12","0027_1_12","Bottle",1620.62580625182,4813.33848773965,"3.99","David","3.99","TRUE","3.99","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1540,5139,1648,5180,96.6976165771484,1,1,13,"UCD_Lehmann_0027","0027","0027_1_13","0027_1_13","Bottle",1628.79687624902,5165.75263844178,NA,NA,"3.99","TRUE","3.99","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1732,2150,1873,2191,91.4515914916992,2,1,1,"UCD_Lehmann_0027","0027","0027_1_14","0027_1_1","Case",1789.17968873691,2173.78495755709,NA,NA,"21.50","TRUE","21.50","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1741,2522,1883,2563,96.6703491210938,2,1,2,"UCD_Lehmann_0027","0027","0027_1_15","0027_1_2","Case",1804.66358933972,2545.58396081305,NA,NA,"26.90","TRUE","26.90","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1734,2789,1875,2830,52.0318984985352,2,1,3,"UCD_Lehmann_0027","0027","0027_1_16","0027_1_3","Case",1801.46033909436,2812.67006900265,NA,NA,"2850","number","26.90","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1735,3088,1875,3129,89.6025314331055,2,1,4,"UCD_Lehmann_0027","0027","0027_1_17","0027_1_4","Case",1806.7709032652,3111.62332271999,NA,NA,"37.70","TRUE","37.70","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1736,3286,1876,3327,93.9173278808594,2,1,5,"UCD_Lehmann_0027","0027","0027_1_18","0027_1_5","Case",1810.95640767444,3309.58160507474,NA,NA,"37.70","TRUE","37.70","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1743,3554,1883,3623,96.9948120117188,2,1,6,"UCD_Lehmann_0027","0027","0027_1_19","0027_1_6","Case",1822.4926164857,3591.43248033728,NA,NA,"39.85","TRUE","39.85","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1743,3758,1883,3798,91.9656143188477,2,1,7,"UCD_Lehmann_0027","0027","0027_1_20","0027_1_7","Case",1825.54149332369,3780.90795196891,NA,NA,"40.95","TRUE","40.95","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1742,3960,1883,4001,90.3199920654297,2,1,8,"UCD_Lehmann_0027","0027","0027_1_21","0027_1_8","Case",1828.29959265813,3983.38978544554,NA,NA,"10.95","TRUE","10.95","TRUE",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
1744,4281,1885,4321,48.5001983642578,2,1,10,"UCD_Lehmann_0027","0027","0027_1_22","0027_1_10","Case",1835.45587745938,4303.81612267119,NA,NA,"4370","number","43.10","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1745,4483,1886,4524,94.6453857421875,2,1,11,"UCD_Lehmann_0027","0027","0027_1_23","0027_1_11","Case",1839.71378263787,4506.27382255808,NA,NA,"43.10","TRUE","43.10","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
